number,person,action,object
00,Lucien,lying,coffin
01,Sam,typing,keyboard
02,Rebecca,petting,Luna
03,Charlotte,tapping,Smart_phone
04,Dad,yelling,megaphone
05,Mum,carrying,tray
06,Gordon,drinking,whisky
07,Tom,smoking,joint
08,Grandma,cooking,pasta
09,Grandad,cutting,apple
10,Caustic,mixing,vials
11,Mirage,waving,statue
12,Pathfinder,bumping,boxing_gloves
13,Revenant,sharpening,sycthe
14,Fuse,launching,grenade
15,Horizon,floating,grav_well
16,Wattson,placing,fences
17,Loba,stealing,ammo
18,Octane,jumping,hoop
19,Mad_Maggie,spitting,tooth
20,Oscar,strumming,guitar
21,Chris Martin,singing,microphone
22,Tom Chaplin,playing,piano
23,Ian Curtis,tying,noose
24,Gerard Way,marching,parade
25,Bon Jovi,headbanging,hair
26,Suzanne Vega,reading,newspaper
27,Kurt Cobain,shooting,brains
28,Kate Bush,running,hill
29,Billy Joel,riding,motorcycle
30,Solaire,praising,sun
31,Andre,hammering,anvil
32,Siegmeyer,swinging,zweihander
33,Priscilla,shivering,tail
34,Laurentius,lighting,fire
35,Lautrec,murdering,firekeeper
36,Qualaag,scurrying,lava
37,Patches,kicking,lever
38,Qwynevere,handing,lordvessel
39,Gwyn,linking,bonfire
40,Dr Robotnik,retreating,eggpod
41,Shadow,gliding,rollerskates
42,Sonic,spindashing,loopdeloop
43,Amy,bonking,mallet
44,Tails,piloting,plane
45,Knuckles,punching,master_emerald
46,Cream,hugging,cheese
47,Big the Cat,fishing,rod
48,Rouge the Bat,stashing,emerald
49,Espio,leaning,desk
50,Doc,dangling,clock
51,Marty,skateboarding,skateboard
52,DeLorean,timetravelling,time
53,Lorraine,dancing,dress
54,George,peeping,binoculars
55,Biff,crashing,manure
56,Jennifer,fainting,mirror
57,Needles,insulting,chicken
58,Clara,squinting,telescope
59,Strickland,binning,book
60,Light,writing,death_note
61,L,stacking,sugarcubes
62,Mr Yagami,cleaning,glasses
63,Naomi,opening,umbrella
64,Near,squishing,toy
65,Mello,biting,chocolate
66,Ryuk,swallowing,apple
67,Watari,pouring,tea
68,Rem,crumbling,dust
69,Misa,posing,camera
70,Wilson,shaving,razor
71,Wolfgang,lifting,weights
72,Wendy,picking,flower
73,Willow,dragging,stuffed_bear
74,Webber,befriending,spider
75,Charlie,sitting,throne
76,Wigfrid,stabbing,spear
77,Wortox,teleporting,soul
78,WX,78,turning,cog
79,Maxwell,laughing,radio
80,Walter,coughing,blood
81,Jesse,falls,window
82,Saul,selling,burner_phone
83,Kim,filing,documents
84,Hank,magnifying,minerals
85,Mike,assembling,sniper
86,Skyler,washing,car
87,Tuco,sniffing,cocaine
88,Lalo,twisting,mustache
89,Gus,exploding,face
90,Uther,commanding,silverhand
91,Garrosh,equiping,armour
92,Anduin,healing,healthbar
93,Valeera,poisoning,dagger
94,Thrall,summoning,totem
95,Malfurion,shapeshifting,bear
96,Illidan,slashing,demonclaw
97,Rexxar,firing,arrow
98,Jaina,casting,fireblast
99,Gul'dan,draining,lifeforce
